iter	Passed	Remaining
417	2926	12145
418	2930	12128
419	2936	12114
420	2942	12105
421	2948	12095
422	2955	12087
423	2959	12069
424	2964	12052
425	2970	12043
426	2978	12038
427	2984	12030
428	2989	12013
429	2994	11997
430	2999	11983
431	3006	11978
432	3010	11960
433	3016	11949
434	3022	11936
435	3026	11919
436	3033	11911
437	3039	11903
438	3045	11891
439	3050	11874
440	3056	11866
441	3061	11849
442	3065	11832
443	3071	11822
444	3079	11818
445	3084	11806
446	3089	11789
447	3094	11778
448	3099	11764
449	3105	11753
450	3110	11737
451	3115	11726
452	3121	11715
453	3128	11707
454	3135	11699
455	3140	11688
456	3147	11680
457	3155	11677
458	3162	11671
459	3170	11668
460	3178	11666
461	3185	11658
462	3189	11642
463	3198	11642
464	3204	11632
465	3212	11630
466	3218	11621
467	3224	11610
468	3230	11599
469	3236	11590
470	3241	11574
471	3247	11566
472	3254	11559
473	3260	11550
474	3267	11541
475	3271	11524
476	3275	11509
477	3281	11498
478	3287	11489
479	3293	11480
480	3297	11463
481	3304	11454
482	3308	11437
483	3315	11431
484	3321	11421
485	3327	11413
486	3333	11402
487	3338	11391
488	3344	11381
489	3351	11373
490	3357	11363
491	3363	11355
492	3370	11347
493	3376	11338
494	3382	11329
495	3388	11320
496	3394	11310
497	3400	11300
498	3406	11290
499	3412	11281
500	3418	11273
501	3424	11263
502	3430	11252
503	3437	11245
504	3443	11236
505	3449	11228
506	3458	11227
507	3468	11231
508	3478	11235
509	3487	11235
510	3495	11233
511	3502	11226
512	3509	11218
513	3515	11210
514	3521	11199
515	3526	11188
516	3533	11179
517	3538	11169
518	3544	11159
519	3550	11149
520	3557	11144
521	3564	11136
522	3569	11125
523	3576	11118
524	3582	11109
525	3588	11099
526	3594	11090
527	3600	11082
528	3608	11076
529	3613	11066
530	3621	11060
531	3627	11052
532	3633	11042
533	3640	11036
534	3645	11026
535	3652	11018
536	3658	11010
537	3665	11004
538	3672	10995
539	3678	10988
540	3684	10977
541	3690	10969
542	3696	10960
543	3705	10958
544	3711	10951
545	3717	10942
546	3724	10934
547	3730	10925
548	3736	10917
549	3742	10907
550	3748	10898
551	3754	10889
552	3759	10878
553	3765	10867
554	3771	10859
555	3777	10851
556	3783	10841
557	3789	10832
558	3795	10823
559	3801	10814
560	3808	10806
561	3813	10796
562	3819	10787
563	3825	10777
564	3831	10767
565	3836	10757
566	3842	10748
567	3848	10739
568	3854	10730
569	3860	10721
570	3866	10711
571	3870	10697
572	3876	10689
573	3882	10679
574	3889	10672
575	3895	10666
576	3902	10660
577	3907	10647
578	3912	10636
579	3918	10627
580	3924	10617
581	3930	10609
582	3936	10599
583	3942	10592
584	3948	10584
585	3954	10574
586	3960	10564
587	3966	10557
588	3973	10549
589	3979	10542
590	3985	10534
591	3990	10523
592	3997	10515
593	4002	10505
594	4009	10498
595	4013	10485
596	4021	10480
597	4028	10474
598	4034	10465
599	4038	10452
600	4044	10444
601	4051	10437
602	4058	10431
603	4064	10424
604	4070	10416
605	4077	10408
606	4082	10399
607	4087	10386
608	4093	10378
609	4100	10371
610	4107	10365
611	4113	10357
612	4119	10349
613	4123	10336
614	4130	10330
615	4135	10319
616	4140	10306
617	4144	10294
618	4150	10286
619	4156	10276
620	4161	10267
621	4167	10257
622	4171	10244
623	4178	10238
624	4183	10228
625	4189	10220
626	4195	10210
627	4201	10203
628	4206	10190
629	4212	10183
630	4217	10173
631	4223	10164
632	4230	10157
633	4235	10148
634	4241	10139
635	4247	10132
636	4252	10119
637	4258	10113
638	4265	10105
639	4269	10093
640	4273	10081
641	4280	10073
642	4285	10065
643	4290	10054
644	4297	10047
645	4303	10038
646	4309	10030
647	4315	10022
648	4322	10016
649	4328	10007
650	4334	9999
651	4340	9992
652	4346	9984
653	4356	9985
654	4364	9982
655	4371	9976
656	4379	9971
657	4389	9973
658	4394	9963
659	4406	9967
660	4412	9960
661	4420	9956
662	4425	9945
663	4434	9945
664	4441	9937
665	4448	9931
666	4457	9930
667	4467	9930
668	4473	9923
669	4482	9922
670	4490	9918
671	4497	9912
672	4505	9907
673	4514	9906
674	4521	9899
675	4530	9897
676	4541	9901
677	4545	9889
678	4551	9880
679	4556	9871
680	4563	9863
681	4568	9854
682	4574	9846
683	4581	9839
684	4586	9830
685	4591	9819
686	4597	9811
687	4603	9803
688	4610	9796
689	4616	9788
690	4623	9782
691	4628	9773
692	4634	9764
693	4638	9752
694	4645	9744
695	4651	9737
696	4657	9729
697	4662	9719
698	4668	9710
699	4672	9699
700	4679	9692
701	4684	9682
702	4690	9674
703	4695	9664
704	4701	9656
705	4705	9644
706	4711	9636
707	4717	9628
708	4723	9620
709	4729	9611
710	4735	9604
711	4741	9596
712	4747	9588
713	4753	9580
714	4757	9568
715	4764	9561
716	4770	9553
717	4775	9545
718	4782	9537
719	4787	9528
720	4792	9518
721	4798	9510
722	4804	9501
723	4808	9490
724	4814	9483
725	4820	9474
